Aggregation_type;-;-;-;-;-;AGG_MetMin;AGG_IndEner;AGG_MetMinEn;AGG_Ener1;AGG_Ener2;AGG_4Sec;AGG_3Sec;AGG_EnComp
Row;Crude_oil;Commodities;EnerSect;HybridCommod;PrimEnerSect;Crude_oil;Crude_oil;Crude_oil;Crude_oil;Crude_oil;PrimEnergy;PrimEnergy;AllEnergy
Row;Natural_gas;Commodities;EnerSect;HybridCommod;PrimEnerSect;Natural_gas;Natural_gas;Natural_gas;Natural_gas;Natural_gas;PrimEnergy;PrimEnergy;AllEnergy
Row;Petr_Ref;Commodities;EnerSect;HybridCommod;FinEnerSect;Petr_Ref;Petr_Ref;Petr_Ref;Petr_Ref;Petr_Ref;FinEnergy;FinEnergy;AllEnergy
Row;Ely_gas_wat;Commodities;EnerSect;HybridCommod;FinEnerSect;Ely_gas_wat;Ely_gas_wat;Ely_gas_wat;Ely_gas_wat;Ely_gas_wat;FinEnergy;FinEnergy;AllEnergy
Row;Agric_fish;Commodities;NonEnerSect;NonHybridCommod;-;Agric_fish;Agric_fish;Agric_fish;Agric_fish;Agric_fish;AllIndus;AllComp;AllComp
Row;Oth_mining;Commodities;NonEnerSect;NonHybridCommod;-;Oth_mining;Oth_mining;Oth_mining;Oth_mining;Oth_mining;AllIndus;AllComp;AllComp
Row;Petchem;Commodities;NonEnerSect;NonHybridCommod;-;Petchem;Petchem;Petchem;Petchem;Petchem;AllIndus;AllComp;AllComp
Row;Non_met_min;Commodities;NonEnerSect;NonHybridCommod;-;Non_met_min;Non_met_min;Non_met_min;Non_met_min;Non_met_min;AllIndus;AllComp;AllComp
Row;Oth_Manuf;Commodities;NonEnerSect;NonHybridCommod;-;Oth_Manuf;Oth_Manuf;Oth_Manuf;Oth_Manuf;Oth_Manuf;AllIndus;AllComp;AllComp
Row;Cial_pub_sces;Commodities;NonEnerSect;NonHybridCommod;-;Cial_pub_sces;Cial_pub_sces;Cial_pub_sces;Cial_pub_sces;Cial_pub_sces;Cial_pub_sces;AllComp;AllComp
Row;wtp;Commodities;NonEnerSect;NonHybridCommod;-;wtp;wtp;wtp;wtp;wtp;AllIndus;AllComp;AllComp
Row;atp;Commodities;NonEnerSect;NonHybridCommod;-;atp;atp;atp;atp;atp;AllIndus;AllComp;AllComp
Row;otp;Commodities;NonEnerSect;NonHybridCommod;-;otp;otp;otp;otp;otp;AllIndus;AllComp;AllComp
Row;Labour_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Labour_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Capital_income;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Production_Tax;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;Profit_margin;OthPart_IOT;Value_Added;-;-;-;-;-;-;-;-;-;-
Row;M_value;OthPart_IOT;-;-;-;-;-;-;-;-;-;-;-
Row;Trade_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-
Row;Transp_margins;OthPart_IOT;Margins;-;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Crude_oil;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Natural_gas;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
Row;SpeMarg_Petr_Ref;OthPart_IOT;SpeMarg;SpeMarg_IC;-;-;-;-;-;-;-;-;-
